GVKEY,IBES Ticker,Duplicates
19352,000R,0
19149,000Y,0
19117,000Z,0
19458,001A,0
187720,001C,0
19518,001J,0
19516,001K,0
19534,001L,0
19274,001M,0
19747,001N,0
270151,001R,0
19025,001X,0
19876,001Z,0
19773,002G,0
19730,002J,0
19989,002L,0
19849,002P,0
19927,002S,0
19507,002T,0
20004,002U,0
314866,002Y,0
20042,003A,0
19275,003D,0
19526,003E,0
20131,003F,0
18936,003G,0
20116,003H,0
19851,003J,0
20115,003K,0
20412,004F,0
20128,004M,0
20170,004V,0
20748,004W,0
20422,005H,0
20010,005I,0
20330,006J,0
20130,006K,0
187550,006M,0
317260,006Q,0
20654,006V,0
18004,006W,0
20644,006X,0
20089,007X,0
20943,008A,0
20949,008C,0
111974,008J,0
20420,008U,0
21104,009H,0
21145,009J,0
21000,009N,0
162453,00A5,0
19977,00AI,0
21540,00AO,0
21002,00BG,0
178698,00BV,0
21627,00BW,0
185277,00BX,0
21617,00BY,0
19843,00C5,0
20232,00C6,0
60923,00C9,0
21918,00CB,0
20692,00CC,0
21841,00CL,0
189517,00D3,0
22025,00D4,0
21696,00DA,0
21898,00DB,0
21079,00DD,0
21431,00DJ,0
19770,00DL,0
22124,00DV,0
25570,00DX,0
21630,00EB,0
21076,00EC,0
19647,00EG,0
21451,00EI,0
22119,00EX,0
22230,00EY,0
163924,00FF,0
22159,00FR,0
21845,00GC,0
18479,00GG,0
22201,00HK,0
22515,00HM,0
20088,00I0,0
271342,00I2,0
20043,00I7,0
22604,00I9,0
22708,00IE,0
21150,00II,0
22853,00JA,0
17277,00JB,0
22460,00JJ,0
271357,00JU,0
181327,00KR,0
22603,00KV,0
23294,00L4,0
17586,00LB,0
22964,00LR,0
22676,00LU,0
22783,00LV,0
126036,00MH,0
166458,00MJ,0
180272,00NO,0
23521,00O7,0
23627,00O8,0
23555,00O9,0
19168,00OG,0
23856,00PK,0
187368,00PM,0
21520,00PP,0
22741,00Q6,0
23865,00Q7,0
23889,00QF,0
23650,00QG,0
23821,00QU,0
23245,00QV,0
23083,00QZ,0
23540,00R2,0
23843,00R6,0
190572,00RA,0
23935,00RL,0
18790,00RO,0
21421,00RU,0
23980,00RX,0
24135,00RZ,0
22180,00S8,0
24638,00S9,0
24819,00SE,0
23569,00SZ,0
24501,00T2,0
18114,00TA,0
25377,00TC,0
24597,00TR,0
25077,00TU,0
166751,00TY,0
294007,00U5,0
25219,00UB,0
25349,00UC,0
24611,00UX,0
140902,00V4,0
28787,00V5,0
26147,00VC,0
185164,00VL,0
25157,00VP,0
25466,00VQ,0
26270,00VY,0
25904,00VZ,0
25539,00W1,0
26351,00W3,0
23864,00WB,0
24896,00WF,0
26381,00WY,0
26321,00XB,0
26337,00XO,0
26349,00XR,0
26658,00YE,0
24525,00YO,0
26494,00YT,0
17875,00Z6,0
26495,010U,0
26755,010V,0
26895,011Y,0
26545,012B,0
170791,012D,0
26126,012R,0
25893,013E,0
187236,013T,0
26792,013U,0
27245,013Z,0
27274,014G,0
156421,015B,0
27364,015G,0
27387,016U,0
27669,016W,0
26144,017N,0
27201,017Q,0
27670,017Z,0
27945,018W,0
26746,019B,0
27905,019G,0
27907,019I,0
27909,019L,0
27871,019M,0
21867,019Y,0
260751,01A0,0
27803,01A6,0
28084,01A9,0
27333,01AB,0
27575,01AC,0
27638,01AF,0
22449,01AG,0
315629,01AR,0
28475,01BH,0
22284,01BP,0
21111,01CQ,0
26873,01D7,0
318728,01DR,0
283463,01EC,0
27706,01EE,0
29565,01FC,0
29524,01FE,0
30091,01FQ,0
29670,01G1,0
186336,01GF,0
28370,01GW,0
30571,01HJ,0
30145,01HP,0
29207,01HR,0
30397,01IF,0
29508,01IN,0
30401,01J8,0
30962,01JE,0
31004,01KJ,0
31109,01KO,0
30547,01LJ,0
31091,01LL,0
318005,01LR,0
31292,01LS,0
29155,01LW,0
31384,01M9,0
31236,01MI,0
31494,01MJ,0
31457,01NA,0
31624,01NX,0
31958,01O6,0
31656,01OH,0
31606,01PI,0
32193,01Q3,0
12035,01QJ,0
29016,01RT,0
17594,01S6,0
31805,01SC,0
29378,01ST,0
32366,01T5,0
32356,01T6,0
32526,01TA,0
32378,01TD,0
32348,01TF,0
27555,01TT,0
32541,01TV,0
32451,01TW,0
32546,01UC,0
32574,01UZ,0
32530,01VQ,0
32638,01VT,0
32640,01W2,0
26359,01W3,0
27215,01W4,0
32665,01W7,0
23985,01W8,0
32641,01WG,0
32347,01X0,0
32672,01X8,0
32775,01XB,0
32792,01XD,0
32763,01XF,0
16582,01XG,0
29375,01XP,0
30284,01Z4,0
32741,01Z7,0
31507,01ZA,0
32930,01ZB,0
31386,01ZK,0
32899,01ZN,0
33064,01ZY,0
33175,020K,0
33066,020U,0
33187,022C,0
32870,022J,0
33056,022K,0
33321,022T,0
33272,022U,0
60844,022V,0
33301,023A,0
32677,023B,0
33424,023R,0
33435,023S,0
33428,023T,0
3424,023V,0
33439,024B,0
33446,024S,0
327451,025V,0
33657,026D,0
213412,026I,0
33708,026P,0
33694,026U,0
33601,026V,0
33698,026W,0
33724,027P,0
33668,027T,0
31295,027U,0
13431,027V,0
19815,027W,0
33859,027Y,0
33852,027Z,0
33766,028A,0
34067,029J,0
33749,029Z,0
33955,02A0,0
34076,02AC,0
34212,02AK,0
34065,02AL,0
18231,02AM,0
34039,02AO,0
34082,02AP,0
34189,02AQ,0
34102,02AV,0
34161,02B4,0
34164,02B7,0
179690,02BO,0
34266,02BP,0
34278,02BS,0
34241,02C9,0
328795,02CB,0
34396,02CE,0
34429,02DO,0
34328,02EH,0
328032,02EJ,0
33550,02EO,0
27252,02FB,0
31982,02FW,0
34103,02GC,0
25332,02HC,0
253501,02IQ,0
30223,02JO,0
1506,A,0
